"School ID","School Name","Decile","From","To","Number of deciles"
1,"Te Kao School",1,2000,2002,3
1,"Te Kao School",2,2003,2017,3
1,"Te Kao School",3,2005,2007,3
2,"Taipa Area School",2,2000,2017,2
2,"Taipa Area School",3,2008,2011,2
3,"Kaitaia College",2,2003,2017,2
3,"Kaitaia College",3,2000,2007,2
4,"Whangaroa College",1,2015,2017,2
4,"Whangaroa College",2,2000,2014,2
5,"Kerikeri High School",6,2015,2017,3
5,"Kerikeri High School",7,2000,2014,3
5,"Kerikeri High School",8,2003,2007,3
6,"Broadwood Area School",1,2008,2017,2
6,"Broadwood Area School",2,2000,2007,2
7,"Okaihau College",2,2000,2017,1
8,"Bay of Islands College",1,2008,2014,2
8,"Bay of Islands College",2,2000,2017,2
9,"Northland College",1,2003,2017,2
9,"Northland College",2,2000,2002,2
10,"Te Kura Taumata o Panguru",1,2000,2017,2
10,"Te Kura Taumata o Panguru",2,2008,2014,2
11,"Opononi Area School",1,2015,2017,2
11,"Opononi Area School",2,2000,2014,2
12,"Tauraroa Area School",5,2000,2007,3
12,"Tauraroa Area School",6,2015,2017,3
12,"Tauraroa Area School",7,2008,2014,3
13,"Kamo High School",4,2015,2017,2
13,"Kamo High School",5,2000,2014,2
14,"Tikipunga High School",1,2003,2007,2
14,"Tikipunga High School",2,2000,2017,2
15,"Whangarei Boys' High School",4,2000,2002,2
15,"Whangarei Boys' High School",5,2003,2017,2
16,"Whangarei Girls' High School",5,2000,2017,1
17,"Pompallier Catholic College",7,2008,2017,2
17,"Pompallier Catholic College",8,2000,2007,2
18,"Mangakahia Area School",3,2003,2017,3
18,"Mangakahia Area School",4,2001,2002,3
18,"Mangakahia Area School",5,2000,2000,3
19,"Dargaville High School",3,2000,2017,1
20,"Bream Bay College",4,2002,2014,2
20,"Bream Bay College",5,2000,2017,2
21,"Otamatea High School",4,2015,2017,3
21,"Otamatea High School",5,2000,2002,3
21,"Otamatea High School",6,2003,2014,3
22,"Ruawai College",4,2000,2017,2
22,"Ruawai College",5,2008,2014,2
23,"Rodney College",3,2000,2002,3
23,"Rodney College",4,2011,2017,3
23,"Rodney College",5,2003,2010,3
24,"Mahurangi College",7,2005,2017,2
24,"Mahurangi College",8,2000,2014,2
25,"Orewa College",8,2000,2007,2
25,"Orewa College",9,2003,2017,2
26,"Kaipara College",6,2000,2002,2
26,"Kaipara College",7,2003,2017,2
27,"Long Bay College",10,2000,2017,1
28,"Rangitoto College",10,2000,2017,1
29,"Kristin School",10,2000,2017,1
30,"Glenfield College",6,2015,2017,3
30,"Glenfield College",7,2000,2014,3
30,"Glenfield College",8,2003,2007,3
31,"Birkenhead College",6,2000,2017,1
32,"Northcote College",7,2015,2017,3
32,"Northcote College",8,2013,2014,3
32,"Northcote College",9,2000,2012,3
33,"Hato Petera College",2,2000,2014,2
33,"Hato Petera College",3,2005,2017,2
35,"Carmel College",9,2015,2017,2
35,"Carmel College",10,2000,2014,2
36,"Takapuna Grammar School",10,2000,2017,1
37,"Westlake Boys' High School",9,2008,2017,2
37,"Westlake Boys' High School",10,2000,2007,2
38,"Westlake Girls' High School",9,2008,2017,2
38,"Westlake Girls' High School",10,2000,2007,2
39,"Rosmini College",9,2008,2017,2
39,"Rosmini College",10,2000,2007,2
40,"Rutherford College",4,2000,2002,3
40,"Rutherford College",5,2003,2017,3
40,"Rutherford College",6,2008,2014,3
41,"Macleans College",9,2015,2017,2
41,"Macleans College",10,2000,2014,2
42,"Green Bay High School",7,2000,2007,2
42,"Green Bay High School",8,2008,2017,2
43,"Massey High School",4,2015,2017,3
43,"Massey High School",5,2000,2014,3
43,"Massey High School",6,2005,2007,3
44,"Waitakere College",3,2008,2017,2
44,"Waitakere College",4,2000,2007,2
45,"Henderson High School",3,2000,2017,2
45,"Henderson High School",4,2008,2014,2
46,"Liston College",5,2000,2017,2
46,"Liston College",6,2005,2007,2
47,"St Dominic's Catholic College (Henderson)",5,2000,2017,2
47,"St Dominic's Catholic College (Henderson)",6,2003,2014,2
48,"Western Springs College",5,2000,2002,3
48,"Western Springs College",7,2003,2007,3
48,"Western Springs College",8,2008,2017,3
49,"Selwyn College",4,2008,2017,3
49,"Selwyn College",5,2003,2007,3
49,"Selwyn College",6,2000,2002,3
50,"St Mary's College (Ponsonby)",4,2000,2002,4
50,"St Mary's College (Ponsonby)",5,2003,2007,4
50,"St Mary's College (Ponsonby)",7,2008,2014,4
50,"St Mary's College (Ponsonby)",8,2015,2017,4
51,"St Paul's College (Ponsonby)",2,2002,2017,2
51,"St Paul's College (Ponsonby)",3,2000,2014,2
52,"Tyndale Park Christian School",99,2000,2017,1
53,"Auckland Girls' Grammar School",3,2000,2017,3
53,"Auckland Girls' Grammar School",4,2003,2004,3
53,"Auckland Girls' Grammar School",5,2005,2014,3
54,"Auckland Grammar",9,2015,2017,2
54,"Auckland Grammar",10,2000,2014,2
55,"Auckland Metropolitan College",5,2000,2001,1
56,"Queen Victoria School",3,2000,2001,1
57,"Tamaki College",1,2000,2017,1
58,"Tangaroa College",1,2000,2017,1
59,"Sacred Heart College (Auckland)",8,2000,2017,1
60,"Saint Kentigern Girls' School",10,2000,2014,2
60,"Saint Kentigern Girls' School",99,2003,2017,2
61,"Baradene College",9,2000,2017,2
61,"Baradene College",10,2005,2007,2
62,"St Peter's College (Epsom)",6,2000,2002,3
62,"St Peter's College (Epsom)",7,2003,2007,3
62,"St Peter's College (Epsom)",8,2008,2017,3
63,"Marcellin College",2,2015,2017,2
63,"Marcellin College",3,2000,2014,2
64,"Epsom Girls Grammar School",9,2008,2017,2
64,"Epsom Girls Grammar School",10,2000,2007,2
65,"Glendowie College",6,2000,2002,3
65,"Glendowie College",9,2003,2014,3
65,"Glendowie College",10,2015,2017,3
66,"Dilworth School",4,2008,2017,2
66,"Dilworth School",5,2000,2007,2
67,"Diocesan School For Girls",10,2000,2017,2
67,"Diocesan School For Girls",99,2003,2015,2
68,"St Cuthbert's College (Epsom)",10,2000,2017,2
68,"St Cuthbert's College (Epsom)",99,2003,2007,2
69,"Mt Albert Grammar School",4,2000,2002,3
69,"Mt Albert Grammar School",5,2003,2007,3
69,"Mt Albert Grammar School",7,2008,2017,3
70,"Marist College",5,2000,2002,3
70,"Marist College",6,2003,2007,3
70,"Marist College",7,2008,2017,3
73,"Hebron Christian College (Auckland)",7,2015,2017,3
73,"Hebron Christian College (Auckland)",8,2000,2014,3
73,"Hebron Christian College (Auckland)",9,2003,2007,3
74,"Mt Roskill Grammar",4,2000,2017,1
75,"Lynfield College",6,2015,2017,3
75,"Lynfield College",7,2001,2014,3
75,"Lynfield College",8,2000,2000,3
77,"Bethlehem College",9,2000,2017,2
77,"Bethlehem College",10,2008,2014,2
78,"Avondale College",4,2008,2017,2
78,"Avondale College",5,2000,2007,2
79,"Edgewater College",2,2015,2017,3
79,"Edgewater College",3,2003,2004,3
79,"Edgewater College",4,2000,2014,3
80,"Pakuranga College",7,2015,2017,4
80,"Pakuranga College",8,2008,2014,4
80,"Pakuranga College",9,2003,2007,4
80,"Pakuranga College",10,2000,2002,4
81,"St Kentigern College (Pakuranga)",10,2000,2017,2
81,"St Kentigern College (Pakuranga)",99,2003,2007,2
82,"Aidanfield Christian School",6,2003,2004,3
82,"Aidanfield Christian School",7,2005,2014,3
82,"Aidanfield Christian School",8,2000,2017,3
83,"Kelston Boys' High School",3,2002,2017,2
83,"Kelston Boys' High School",4,2000,2014,2
84,"Kelston Girls' College",2,2015,2017,3
84,"Kelston Girls' College",3,2003,2014,3
84,"Kelston Girls' College",4,2000,2007,3
85,"One Tree Hill College",2,2000,2002,2
85,"One Tree Hill College",3,2003,2017,2
86,"Onehunga High School",3,2000,2017,2
86,"Onehunga High School",4,2008,2014,2
87,"Howick College",8,2015,2017,2
87,"Howick College",10,2000,2014,2
88,"Otahuhu College",1,2000,2017,1
89,"Kings College",10,2000,2017,1
90,"McAuley High School",1,2000,2017,1
91,"Mangere College",1,2000,2017,1
93,"Auckland Seventh-Day Adventist H S",1,2015,2017,2
93,"Auckland Seventh-Day Adventist H S",2,2000,2014,2
94,"De La Salle College",1,2000,2017,1
95,"Papatoetoe High School",3,2008,2017,2
95,"Papatoetoe High School",4,2000,2007,2
96,"Aorere College",2,2000,2017,1
97,"Sir Edmund Hillary Collegiate Senior School",1,2000,2017,1
99,"Manurewa High School",1,2015,2017,3
99,"Manurewa High School",2,2008,2014,3
99,"Manurewa High School",3,2000,2007,3
100,"James Cook High School",1,2008,2017,2
100,"James Cook High School",2,2000,2007,2
101,"Papakura High School",1,2015,2017,2
101,"Papakura High School",2,2000,2014,2
102,"Rosehill College",5,2015,2017,3
102,"Rosehill College",6,2008,2014,3
102,"Rosehill College",7,2000,2007,3
103,"Pukekohe High School",6,2000,2017,1
104,"Wesley College",1,2015,2017,2
104,"Wesley College",2,2000,2014,2
105,"Waiuku College",6,2000,2017,2
105,"Waiuku College",7,2003,2014,2
106,"Tuakau College",3,2003,2007,2
106,"Tuakau College",4,2000,2017,2
107,"St Stephen's School (Bombay)",3,2000,2000,1
108,"Onewhero Area School",5,2000,2002,3
108,"Onewhero Area School",6,2003,2017,3
108,"Onewhero Area School",7,2008,2014,3
109,"Coromandel Area School",3,2000,2017,1
110,"Mercury Bay Area School",4,2003,2007,3
110,"Mercury Bay Area School",5,2015,2017,3
110,"Mercury Bay Area School",6,2000,2014,3
111,"Thames High School",5,2015,2017,3
111,"Thames High School",6,2000,2014,3
111,"Thames High School",7,2005,2007,3
112,"Hauraki Plains College",4,2000,2007,3
112,"Hauraki Plains College",5,2015,2017,3
