"School ID","School Name","Type","Authority","Gender","Regional Council","TA with Auckland Local Board","From","To","Number of changes"
1,"Te Kao School","Full Primary","State: Not integrated","Co-Ed","Northland Region","Far North District",2000,2017,1
2,"Taipa Area School","Composite (Year 1-15)","State: Not integrated","Co-Ed","Northland Region","Far North District",2000,2017,1
3,"Kaitaia College","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Northland Region","Far North District",2000,2017,1
4,"Whangaroa College","Secondary (Year 7-15)","State: Not integrated","Co-Ed","Northland Region","Far North District",2000,2017,1
5,"Kerikeri High School","Secondary (Year 7-15)","State: Not integrated","Co-Ed","Northland Region","Far North District",2000,2017,1
6,"Broadwood Area School","Composite (Year 1-15)","State: Not integrated","Co-Ed","Northland Region","Far North District",2000,2017,1
7,"Okaihau College","Secondary (Year 7-15)","State: Not integrated","Co-Ed","Northland Region","Far North District",2000,2017,1
8,"Bay of Islands College","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Northland Region","Far North District",2000,2017,1
9,"Northland College","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Northland Region","Far North District",2000,2017,1
10,"Te Kura Taumata o Panguru","Composite (Year 1-15)","State: Not integrated","Co-Ed","Northland Region","Far North District",2000,2017,1
11,"Opononi Area School","Composite (Year 1-15)","State: Not integrated","Co-Ed","Northland Region","Far North District",2000,2017,1
12,"Tauraroa Area School","Composite (Year 1-15)","State: Not integrated","Co-Ed","Northland Region","Whangarei District",2000,2017,1
13,"Kamo High School","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Northland Region","Whangarei District",2000,2017,1
14,"Tikipunga High School","Secondary (Year 7-15)","State: Not integrated","Co-Ed","Northland Region","Whangarei District",2000,2017,1
15,"Whangarei Boys' High School","Secondary (Year 9-15)","State: Not integrated","Single Sex-Boys","Northland Region","Whangarei District",2000,2017,1
16,"Whangarei Girls' High School","Secondary (Year 9-15)","State: Not integrated","Single Sex-Girls","Northland Region","Whangarei District",2000,2017,1
17,"Pompallier Catholic College","Secondary (Year 7-15)","State: Integrated","Co-Ed","Northland Region","Whangarei District",2000,2017,1
18,"Mangakahia Area School","Composite (Year 1-15)","State: Not integrated","Co-Ed","Northland Region","Whangarei District",2000,2017,1
19,"Dargaville High School","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Northland Region","Kaipara District",2000,2017,1
20,"Bream Bay College","Secondary (Year 7-15)","State: Not integrated","Co-Ed","Northland Region","Whangarei District",2000,2017,1
21,"Otamatea High School","Secondary (Year 7-15)","State: Not integrated","Co-Ed","Northland Region","Kaipara District",2000,2017,1
22,"Ruawai College","Secondary (Year 7-15)","State: Not integrated","Co-Ed","Northland Region","Kaipara District",2000,2017,1
23,"Rodney College","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Auckland Region","Auckland- Rodney",2000,2017,1
24,"Mahurangi College","Secondary (Year 7-15)","State: Not integrated","Co-Ed","Auckland Region","Auckland- Rodney",2000,2017,1
25,"Orewa College","Secondary (Year 7-15)","State: Not integrated","Co-Ed","Auckland Region","Auckland- Hibiscus and Bays",2005,2017,2
25,"Orewa College","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Auckland Region","Auckland- Hibiscus and Bays",2000,2004,2
26,"Kaipara College","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Auckland Region","Auckland- Rodney",2000,2017,1
27,"Long Bay College","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Auckland Region","Auckland- Hibiscus and Bays",2000,2017,1
28,"Rangitoto College","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Auckland Region","Auckland- Upper Harbour",2000,2017,1
29,"Kristin School","Composite (Year 1-15)","Private: Fully Reg.","Co-Ed","Auckland Region","Auckland- Upper Harbour",2000,2017,1
30,"Glenfield College","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Auckland Region","Auckland- Kaipatiki",2000,2017,1
31,"Birkenhead College","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Auckland Region","Auckland- Kaipatiki",2000,2017,1
32,"Northcote College","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Auckland Region","Auckland- Kaipatiki",2000,2017,1
33,"Hato Petera College","Secondary (Year 9-15)","State: Integrated","Co-Ed","Auckland Region","Auckland- Kaipatiki",2000,2017,1
35,"Carmel College","Secondary (Year 7-15)","State: Integrated","Single Sex-Girls","Auckland Region","Auckland- Devonport-Takapuna",2000,2017,1
36,"Takapuna Grammar School","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Auckland Region","Auckland- Devonport-Takapuna",2000,2017,1
37,"Westlake Boys' High School","Secondary (Year 9-15)","State: Not integrated","Single Sex-Boys","Auckland Region","Auckland- Devonport-Takapuna",2000,2017,1
38,"Westlake Girls' High School","Secondary (Year 9-15)","State: Not integrated","Single Sex-Girls","Auckland Region","Auckland- Devonport-Takapuna",2000,2017,1
